n,Serie_Armonica,Serie_Inversos_Cuadrados
88,5.0602235367,1.6336347520
89,5.0714594917,1.6337609987
90,5.0825706028,1.6338844555
91,5.0935596138,1.6340052139
92,5.1044291791,1.6341233613
93,5.1151818672,1.6342389816
94,5.1258201651,1.6343521550
95,5.1363464809,1.6344629583
96,5.1467631476,1.6345714653
97,5.1570724259,1.6346777465
98,5.1672765075,1.6347818698
99,5.1773775176,1.6348839002
100,5.1873775176,1.6349839002
101,5.1972785077,1.6350819298
102,5.2070824293,1.6351780467
103,5.2167911672,1.6352723063
104,5.2264065518,1.6353647619
105,5.2359303613,1.6354554648
106,5.2453643236,1.6355444645
107,5.2547101180,1.6356318083
108,5.2639693772,1.6357175422
109,5.2731436892,1.6358017102
110,5.2822345982,1.6358843549
111,5.2912436073,1.6359655171
112,5.3001721787,1.6360452365
113,5.3090217362,1.6361235512
114,5.3177936660,1.6362004979
115,5.3264893182,1.6362761123
116,5.3351100079,1.6363504286
117,5.3436570164,1.6364234799
118,5.3521315927,1.6364952984
119,5.3605349540,1.6365659148
120,5.3688682874,1.6366353593
121,5.3771327502,1.6367036606
122,5.3853294715,1.6367708469
123,5.3934595528,1.6368369451
124,5.4015240689,1.6369019815
125,5.4095240689,1.6369659815
126,5.4174605768,1.6370289697
127,5.4253345926,1.6370909698
128,5.4331470926,1.6371520050
129,5.4408990306,1.6372120975
130,5.4485913383,1.6372712691
131,5.4562249261,1.6373295408
132,5.4638006836,1.6373869329
133,5.4713194806,1.6374434652
134,5.4787821672,1.6374991569
135,5.4861895746,1.6375540265
136,5.4935425158,1.6376080923
137,5.5008417858,1.6376613716
138,5.5080881627,1.6377138816
139,5.5152824073,1.6377656388
140,5.5224252644,1.6378166592
141,5.5295174630,1.6378669585
142,5.5365597165,1.6379165518
143,5.5435527235,1.6379654539
144,5.5504971679,1.6380136792
146,5.5642430347,1.6381081548
148,5.5778025126,1.6382000856
150,5.5911805886,1.6382895730
152,5.6043820526,1.6383767133
154,5.6174115068,1.6384615975
156,5.6302733761,1.6385443122
158,5.6429719168,1.6386249395
160,5.6555112249,1.6387035574
162,5.6678952446,1.6387802401
164,5.6801277749,1.6388550582
166,5.6922124773,1.6389280789
168,5.7041528822,1.6389993662
170,5.7159523949,1.6390689810
172,5.7276143016,1.6391369816
